GST ID,Start Time,Observed Time,KP Index,Source,Linked Events Activity ID
2016-05-08T00:00:00-GST-001,2016-05-08T00:00Z,2016-05-09T03:00Z,7,NOAA,2016-05-08T01:21:00-HSS-001
2016-06-06T03:00:00-GST-001,2016-06-06T03:00Z,2016-06-06T06:00Z,6,NOAA,2016-06-04T23:00:00-HSS-001
2016-06-14T18:00:00-GST-001,2016-06-14T18:00Z,2016-06-14T21:00Z,6,NOAA,None
2016-06-14T18:00:00-GST-001,2016-06-14T18:00Z,2016-06-14T21:00Z,6,NOAA,None
2016-09-01T21:00:00-GST-001,2016-09-01T21:00Z,2016-09-02T00:00Z,6,NOAA,2016-09-01T10:00:00-HSS-001
2016-09-01T21:00:00-GST-001,2016-09-01T21:00Z,2016-09-02T06:00Z,6,NOAA,2016-09-01T10:00:00-HSS-001
2016-09-01T21:00:00-GST-001,2016-09-01T21:00Z,2016-09-03T06:00Z,6,NOAA,2016-09-01T10:00:00-HSS-001
2016-09-27T15:00:00-GST-001,2016-09-27T15:00Z,2016-09-27T18:00Z,6,NOAA,2016-09-26T07:05:00-HSS-001
2016-09-28T18:00:00-GST-001,2016-09-28T18:00Z,2016-09-28T21:00Z,6,NOAA,2016-09-26T07:05:00-HSS-001
2016-10-13T15:00:00-GST-001,2016-10-13T15:00Z,2016-10-13T18:00Z,6,NOAA,2016-10-08T21:09:00-CME-001;2016-10-12T21:21:00-IPS-001;
2016-10-13T15:00:00-GST-001,2016-10-13T15:00Z,2016-10-13T21:00Z,6,NOAA,2016-10-08T21:09:00-CME-001;2016-10-12T21:21:00-IPS-001;
2016-10-13T15:00:00-GST-001,2016-10-13T15:00Z,2016-10-14T03:00Z,6,NOAA,2016-10-08T21:09:00-CME-001;2016-10-12T21:21:00-IPS-001;
2016-10-25T12:00:00-GST-001,2016-10-25T12:00Z,2016-10-25T15:00Z,6,NOAA,2016-10-25T09:29:00-HSS-001
2016-10-25T12:00:00-GST-001,2016-10-25T12:00Z,2016-10-25T15:00Z,7,NOAA,2016-10-25T09:29:00-HSS-001
2016-10-25T12:00:00-GST-001,2016-10-25T12:00Z,2016-10-25T18:00Z,6,NOAA,2016-10-25T09:29:00-HSS-001
2016-10-25T12:00:00-GST-001,2016-10-25T12:00Z,2016-10-26T00:00Z,6,NOAA,2016-10-25T09:29:00-HSS-001
2016-10-25T12:00:00-GST-001,2016-10-25T12:00Z,2016-10-26T12:00Z,6,NOAA,2016-10-25T09:29:00-HSS-001
2016-10-25T12:00:00-GST-001,2016-10-25T12:00Z,2016-10-26T18:00Z,6,NOAA,2016-10-25T09:29:00-HSS-001
2016-11-25T03:00:00-GST-001,2016-11-25T03:00Z,2016-11-25T06:00Z,6,NOAA,2016-11-24T05:14:00-HSS-001
2016-12-21T15:00:00-GST-001,2016-12-21T15:00Z,2016-12-21T18:00Z,6,NOAA,2016-12-21T03:37:00-HSS-001
